url,title,created_at,administrator,type
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751592,고양 스타트업 스쿨 참가자 모집,2023-08-09,이혜진,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751581,[장애학생지원센터] 2023-2학기 국가근로장학생(장애대학생 봉사유형) 모집,2023-08-08,염수경,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751576,2023 BEST 코칭 프로그램 참여자 모집,2023-08-07,나윤주,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751575,2023년 Dream PATH 커리어로드맵 & 취업포트폴리오 경진대회 심사결과 발표,2023-08-07,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751573,[경영학과] 이영면 교수님 조교 모집(마감),2023-08-07,이아셀,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751570,2023학년도 2학기 연구등록(B) 등록 안내,2023-08-07,설희진,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751569,[참사람사회공헌센터] 봉사 동아리 '참사람 봉사단' 20기 모집 안내,2023-08-07,강다현,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751556,한국관광 미래인재(관광학과 대학생) 초청 워크숍 개최 안내,2023-08-07,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751550,MLP 기반 Microsoft 자격증 취득 과정 참가 학생 모집 (마감),2023-08-04,최정문,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751549,[CSI2 특화교육] 'AI와 챗GPT' 특강 참가 학생 모집,2023-08-04,최정문,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751548,[CSI2 특화교육] '기후위기와 ESG' 특강 참가 학생 모집,2023-08-04,최정문,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751539,2023년 청년 전세보증금반환보증 보증료 지원사업 신청자 모집 안내,2023-08-04,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751530,[진로지원 프로그램] 동문 특강: LG에너지솔루션 입사 성공기,2023-08-03,이보리,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751523,뉴콘텐츠아카데미 1기 교육생 및 프로젝트 교육팀 모집,2023-08-02,조재휘,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751522,[서대문구] 2023 신촌글로벌대학문화축제 부스 참가자 모집 안내,2023-08-02,조재휘,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751521,[재단법인백제문화제재단] '2023 대백제전' 대학기자단 모집,2023-08-02,조재휘,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751520,2023년도 국회 대학(원)생 아카데미(1차) 실시 안내,2023-08-02,조재휘,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751494,[경영학과] 성상현 교수님 조교 모집(마감),2023-07-31,이아셀,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751488,[예비군연대] 2023년 8월 각 군 현역병  모집계획 안내,2023-07-31,김태영,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751464,2023년도 국회 대학(원)생 아카데미(1차) 과정 실시 안내,2023-07-28,신병수,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751459,2023년 '신입생 인사이드 아웃' 특강 프로그램 _[학생역량개발팀],2023-07-27,신윤정,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751439,[진로지원 프로그램] 4차 산업시대에 S/W 개발자 되기,2023-07-27,이보리,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751435,2023년도 <산학공유 밸류업 지원사업> 기업 모집공고,2023-07-26,김서후,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751422,[참사람사회공헌센터] 2023 가을학기 사회봉사교과목 수강신청,2023-07-21,강다현,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751419,"[대학미디어센터] 제 5회 언론인초청특강 개최 안내(2023년 8월, KBS/MBC/SBS/중앙일보)",2023-07-21,오솔미,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751411,서울시평생교육진흥원 모두의학교 자원봉사자 '모두아띠' 17기 모집,2023-07-20,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751405,[사회복지학과] 이은영 교수님 조교 모집,2023-07-20,강혜린,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751402,2023 천원의 아침밥 서포터즈 모집,2023-07-20,조재휘,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751401,2023년 대학생 공익활동 활성화 사업 참여 안내,2023-07-20,조재휘,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751374,남양주문화원 제 23기 청소년문화체험원정대 1박2일 캠프 대학생 자원봉사자(멘토) 모집,2023-07-20,정미래,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751371,[동국대학교캠퍼스타운] 2023 Pre-스타트업 시뮬레이션(2차) 모집 공고(조기마감),2023-07-19,백보람,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751365,2023-2 함성소리 대학생 교육기부 동아리 모집,2023-07-19,정미래,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751361,[교수학습혁신센터] 2023 창의문제해결 프로젝트 선정팀 발표,2023-07-19,나윤주,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751360,서울특별시 「청소년 마약류접근차단 영상콘텐츠 공모전」,2023-07-19,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751354,[진로지원 프로그램] 공모전의 신에서 마케팅의 신으로! - 마케팅 직무 특강,2023-07-19,이보리,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751353,대학생 교육기부 프로그램 「함성소리」동아리 모집 홍보,2023-07-18,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751352,「2023 남원 세계드론제전」서포터즈 모집 안내,2023-07-18,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751344,2023년 경기도평생교육진흥원 「민주시민교육 인식개선」 대학생 홍보단 모집 홍보,2023-07-18,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751342,[참사람사회공헌센터] 2023 하반기 중구멘토링 온라인 봉사자 모집 안내,2023-07-17,강다현,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751337,[동국대캠퍼스타운입주기업] 웍스앤피플 외국인 유학생 대상 K-POP Dance Program,2023-07-17,이혜진,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751333,[세이브더칠드런] 아동권리영화제 단편영화 공모전 홍보,2023-07-17,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751299,[참사람사회공헌센터] 2023 여름학기 사회봉사교과목 평가회 안내,2023-07-14,강다현,일반
