course_code,course_name,professor,is_online
EGC5040-01,삼국유사와문화콘텐츠,곽미라,False
EGC5041-01,AI·사랑·혐오,이석주,False
EGC5042-01,디지털붓다와의대화,장미란,False
EGC5043-01,"디지털전환시대,삶의변화와불교휴머니티",장미란,False
EGC5045-01,소셜이노베이션을위한질적데이터분석실습(캡스톤디자인),이수현,False
EGC9018-01,디지털기술과미래역량,한송이,False
GCR4004-01,종교와과학,한수진(淡供行),False
CJC2001-01,형사사법학입문,최응렬,False
CJC2005-01,통계학개론,이창배,False
CJC2006-01,전공탐색,조윤오,False
DUF2005-01,IntroductiontoLegalStudies,김형구,False
DUF2005-02,IntroductiontoLegalStudies,김형구,False
SSC2001-01,정치학개론,박명호,False
SSC2001-02,정치학개론,최위정,False
SSC2001-03,정치학개론,진유정,False
SSC2001-04,정치학개론,김민수,False
SSC2001-05,정치학개론,서창훈,False
SSC2003-01,사회학개론,김원태,False
SSC2003-02,사회학개론,허윤정,False
SSC2003-03,사회학개론,허윤정,False
SSC2004-01,행정학개론,주창범,False
SSC2004-02,행정학개론,채성만,False
SSC2008-01,국제통상의이해,이은화,False
SSC2008-02,국제통상의이해,이은화,False
TSF2005-01,사회복지학개론,송영매,False
RGC0003-01,불교와인간,조법훈,False
RGC0003-02,불교와인간,강기선(도업),False
RGC0003-03,불교와인간,명계환,False
RGC0003-04,불교와인간,이호경,False
RGC0003-05,불교와인간,고영섭,False
RGC0003-06,불교와인간,이민성,False
RGC0003-07,불교와인간,박대용(동광),False
RGC0003-08,불교와인간,명계환,False
RGC0003-09,불교와인간,이호경,False
RGC0003-10,불교와인간,임윤경(석도),False
RGC0003-11,불교와인간,홍나연,False
RGC0003-12,불교와인간,김은영,False
RGC0003-13,불교와인간,장성우,False
RGC0003-14,불교와인간,문진영(정천),False
RGC0003-15,불교와인간,오명지,False
RGC0003-16,불교와인간,조종복,False
RGC0003-17,불교와인간,지창규(명원),False
RGC0003-18,불교와인간,고영섭,False
RGC0003-19,불교와인간,이태영,False
RGC0003-20,불교와인간,이태영,False
RGC0003-21,불교와인간,강기선(도업),False
RGC0003-22,불교와인간,김지연(묘련화),False
RGC0003-23,불교와인간,김수진,False
RGC0003-24,불교와인간,김두진,False
RGC0003-25,불교와인간,권순범,False
RGC0003-26,불교와인간,권택규(정선(正善)),False
RGC0003-31,불교와인간,전민지,False
RGC0003-32,불교와인간,서정원(향원),False
RGC0003-33,불교와인간,권정현(자헌),False
RGC0003-34,불교와인간,양현희,False
RGC0003-35,불교와인간,한수진(淡供行),False
RGC0003-36,불교와인간,오진영(은섬),False
RGC0003-37,불교와인간,이석환,False
RGC0003-38,불교와인간,전효진(진관),False
RGC0003-39,불교와인간,박대용(동광),False
RGC0003-40,불교와인간,김수진,False
RGC0017-01,자아와명상1,이동하(동하),False
RGC0017-02,자아와명상1,김종욱(원충),False
RGC0017-03,자아와명상1,김수덕(서암),False
RGC0017-04,자아와명상1,신둘연(현봉),False
RGC0017-05,자아와명상1,이견명(견명),False
RGC0017-06,자아와명상1,천윤성(윤성),False
RGC0017-07,자아와명상1,김흥빈(지광),False
RGC0017-08,자아와명상1,장완순(행범),False
RGC0017-09,자아와명상1,장완순(행범),False
RGC0017-10,자아와명상1,공숙자(보희),False
RGC0017-11,자아와명상1,정주영(효림),False
RGC0017-16,자아와명상1,김수덕(서암),False
RGC0018-01,자아와명상2,조서호(법명),False
RGC0018-02,자아와명상2,하영수(진본),False
RGC0018-03,자아와명상2,이동하(동하),False
RGC0018-04,자아와명상2,조서호(법명),False
RGC0018-05,자아와명상2,하영수(진본),False
RGC0018-06,자아와명상2,이동하(동하),False
