course_id,days,start_time,end_time,classroom
121,수,14:00,15:30,207-604(혜화관  604 강의실)
122,화,13:30,15:00,207-313(혜화관 313 313 강의실_스마트)
122,목,13:30,15:00,207-313(혜화관 313 313 강의실_스마트)
123,월,12:00,13:30,102-454(학술/문화관 K454 454 강의실)
123,수,11:00,12:30,102-454(학술/문화관 K454 454 강의실)
124,화,12:00,13:30,102-458(학술/문화관 K458 458 강의실)
124,목,12:00,13:30,102-458(학술/문화관 K458 458 강의실)
125,화,16:00,17:30,207-315(혜화관 315 315 강의실)
125,목,16:30,18:00,207-315(혜화관 315 315 강의실)
126,화,14:00,15:30,102-458(학술/문화관 K458 458 강의실)
126,금,14:00,15:30,102-458(학술/문화관 K458 458 강의실)
127,화,16:00,17:30,102-443(학술/문화관 K443 443 강의실)
127,목,16:30,18:00,102-443(학술/문화관 K443 443 강의실)
128,월,18:50,21:30,102-454(학술/문화관 K454 454 강의실)
129,화,12:00,13:30,102-221(학술/문화관 K221 221 강의실)
129,목,12:00,13:30,102-221(학술/문화관 K221 221 강의실)
130,월,15:00,16:30,207-315(혜화관 315 315 강의실)
130,수,16:30,18:00,207-315(혜화관 315 315 강의실)
131,월,12:00,13:30,102-357(학술/문화관 K357 357 강의실)
131,수,11:00,12:30,102-357(학술/문화관 K357 357 강의실)
132,월,16:30,18:00,102-356(학술/문화관 K356 356 강의실)
132,수,14:00,15:30,102-356(학술/문화관 K356 356 강의실)
133,월,16:30,18:00,102-362(학술/문화관 K362 362 강의실)
133,수,14:00,15:30,102-362(학술/문화관 K362 362 강의실)
134,화,12:00,13:30,102-356(학술/문화관 K356 356 강의실)
134,목,12:00,13:30,102-356(학술/문화관 K356 356 강의실)
135,화,12:00,13:30,102-362(학술/문화관 K362 362 강의실)
135,목,12:00,13:30,102-362(학술/문화관 K362 362 강의실)
136,화,10:30,12:00,207-315(혜화관 315 315 강의실)
136,목,10:30,12:00,207-315(혜화관 315 315 강의실)
137,화,14:00,15:30,102-441(학술/문화관 K441 441 강의실)
137,금,14:00,15:30,102-441(학술/문화관 K441 441 강의실)
138,화,16:00,17:30,102-221(학술/문화관 K221 221 강의실)
138,목,16:30,18:00,102-221(학술/문화관 K221 221 강의실)
139,월,18:50,21:30,102-362(학술/문화관 K362 362 강의실)
140,월,12:00,13:30,102-243(학술/문화관 K243 243 강의실_스마트)
140,수,11:00,12:30,102-243(학술/문화관 K243 243 강의실_스마트)
141,화,16:00,17:30,207-625(혜화관  625 강의실)
141,목,16:30,18:00,207-625(혜화관  625 강의실)
142,화,12:00,13:30,207-313(혜화관 313 313 강의실_스마트)
142,목,12:00,13:30,207-313(혜화관 313 313 강의실_스마트)
143,화,14:00,15:30,102-361(학술/문화관 K361 361 강의실)
143,금,14:00,15:30,102-361(학술/문화관 K361 361 강의실)
144,화,11:00,12:30,201-129(사회과학/경영관 M129 강의실)
144,금,11:00,12:30,201-129(사회과학/경영관 M129 강의실)
145,화,11:00,12:30,102-443(학술/문화관 K443 443 강의실)
145,금,11:00,12:30,102-443(학술/문화관 K443 443 강의실)
146,화,12:30,14:00,102-460(학술/문화관 K460 460 강의실)
